sentiment,airline,text
negative,US Airways,@USAirways now siting on Tarmac in philly for another 15 minutes. This is so lame. Sorry doesn't help. This is terrible.
negative,Southwest,@Southwestair thanks for leaving me hanging here. #destinationdragons flights all fucked up now. No help?!
neutral,Southwest,"@SouthwestAir is now recruiting for Fall 15, Spring 16 Internships. 
2/23/15, 5- 6pm @JindalCMC Davidson Auditorium(1.118) #JSOM #UTDallas"
negative,United,@united  what did you do with my seat. International connection. Seriously?
neutral,American,@AmericanAir @Slacksoft_uk I saw an American 767 in old colours at @HeathrowAirport on Saturday! Was surprised to see!
neutral,United,@united two years old.  Birthdate 11/13/2012
negative,Southwest,@SouthwestAir  3 flights yesterday; no treats but nuts and pretzels. Also no origami in the magazine. New policies? #OldPoliciesWayBetter
negative,Delta,@JetBlue flight 691 from bos to Tampa takeoff 40 min Late Flight
negative,Southwest,@SouthwestAir next up: enforcing your boarding procedure.
negative,American,"@AmericanAir can you do anything to get #AA953 moving? Been almost 24 hrs and hundreds at jfk upset, tired and want to get to BA."
negative,US Airways,@USAirways I want to love you! 43 minutes on hold! Help me understand why I switched loyalty programs. http://t.co/cHGy5yrVka
neutral,American,@AmericanAir @USAirways She's on Manch to Charlotte Fl 4628 Told her she could get on a 4pm flight to West Palm Beach. Nothing earlier?
negative,United,@united I understand ppl make mistakes but don't code something in a way that we can't get reimbursed when it's YOUR fault. Just blatant LIE
negative,United,"@united Direct Messaged you, didn't hear anything back"
negative,US Airways,@USAirways you are the actual worst.  You have zero respect for your passengers. I'm officially done flying with you.
negative,US Airways,"@USAirways already called, no other options, flight is being reimbursed. Never again, you are unreliable for business travelers."
neutral,United,"@united blood services, make your appt. today! 18009174929 http://t.co/6UXwPaduGS"
positive,Southwest,@SouthwestAir have sent you a DM with the details. Thanks!
negative,US Airways,@USAirways citizen. I fly your airline constantly and am so offended.  Derrick Bussey. Now Im crying on this airplane because I'm so upset
negative,United,@united always happy to start my life with my new wife with a 5 hr travel delay due to MAINTENECE and it would appear incompetence
negative,United,@united Flt 4487 is having some MAJOR delays bc ground crew was so SLOW. The flight crew has been terrific. Been 2 hours on the ground..😡...
negative,Delta,@JetBlue flight attendant was hesitant to give me more baby sized cookies
negative,Southwest,"@SouthwestAir yeah... that's not what happened. I'm really pissed. This is the kind of thing I expect from US or Austrian, not you."
negative,American,@AmericanAir I know your policy. Just asking for a little kindness due to extenuating circumstances.
neutral,United,@united Will you be issuing an exception policy for Denver for this weekend?
negative,US Airways,@USAirways a $100 @Samsonite - totaled. Not happy. Not at all.
neutral,United,"@united we finally just arrive to Bogota, good but long flight!!"
negative,US Airways,@USAirways So you Cancelled Flightled my flight AGAIN? are you paying for my hotel?!
positive,Delta,@JetBlue sure is 💙
negative,United,"@united assistance with what, the attitude of your staff no matter which airport we are at?"
negative,American,"@AmericanAir that's the one. My original arrival time was 10:14am, after all said and done I may be there by 9:19pm central. Not impressed."
negative,US Airways,"@USAirways  Flight 4454 aircraft at gate, but no crew?  Will be 2+ hours Late Flight to destination. Come on!"
negative,American,@AmericanAir thanks for being entirely unhelpful and wasting hours of my time today
negative,Southwest,@SouthwestAir Didn't see travel had to be compete for unused funds by expiration date hidden in the fine print. Never saw that before.
neutral,United,@united how much does it cost to check in an additional bag? Traveling from newark to glasgow. Thank you :)
positive,Southwest,@SouthwestAir shhhh i don't want something else to steal our deal😉
positive,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
negative,United,@united never flying United again! Worst experience ever
neutral,American,@AmericanAir OK I will call them likely tmrw UK time to question the process getting the change charge reversed due to a bereavement
positive,US Airways,"@USAirways YOU ARE AMAZING!!! FOLLOW ME BACK, PLEASE!!!🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏"
negative,US Airways,@USAirways should look into better service✌️
negative,Delta,“@JetBlue: Our fleet's on fleek. http://t.co/8o3SCR5EFW” smh yall expect me to trust a childish airline with my life? #Nah
neutral,Southwest,"@SouthwestAir can u better define the ""plus one smaller type"" item on carry on requirements?.. small backpacks?"
negative,United,@united You're trying to solve problem of your own making. Charging for checked luggage forces checking at gate. Brilliant.
neutral,Southwest,@SouthwestAir did you know that suicide is the second leading cause of death among teens 10-24
neutral,Southwest,@SouthwestAir IM NOT THO 😭😭💔💔💔💔💔💔💔
negative,US Airways,@USAirways have checked all day.  CHO needs added.  Please evaluate.
negative,Southwest,@SouthwestAir my flight was Cancelled Flightled Monday.  Just looking to Cancelled Flight and credit my card.  That's all.
neutral,United,@united need to add service dog to my itinerary for tomorrow
negative,American,@AmericanAir  zoom in on the sauce and potatoes.  This stuff is vile.  And I mean vile. http://t.co/m2PHoavRxC
negative,Delta,@JetBlue whose performing at T5
negative,Delta,Jet BOOOO 🍅🍅🍅🍅 RT @JetBlue: Our fleet's on fleek. http://t.co/0WbJAWx7xD
negative,United,@united Really....you charge me $25 to check a bag and then you put it on a different flight....still Don't have my bag!!!
neutral,American,@AmericanAir how does one book a ticket online and put it on hold?  Does that require that I pay for the ticket?
negative,American,@AmericanAir @emrey35 But it says your agents are too busy and to try back Late Flightr???
positive,American,"@AmericanAir yes yes yes,so glad to be headed home!"
neutral,Southwest,"@SouthwestAir Traveling with a 13 year old Thursday. He does not need an ID, correct?"
negative,American,@AmericanAir right on cue with the delays👌
positive,United,@united finally got through and they were very helpful. Appreciate it!
neutral,Delta,😂😂😂 “@JetBlue: Our fleet's on fleek. http://t.co/BBaONx9txD”
negative,American,@AmericanAir you're airline is ridiculous
negative,United,@united somehow I knew that you'd wait until I was airborne to respond. #hacks #jokers #neveragain.
positive,Southwest,"@SouthwestAir What can we do to bring you back to Jackson, MS?! We miss you terribly around here. These other airlines are horrible!!"
positive,US Airways,@USAirways yes I did thank you! They did a great job turning the flight in jan !
neutral,Delta,@JetBlue Hawaii what deals u have for me
positive,Southwest,"@SouthwestAir Great flight yesterday from MSY to AUS!! Thank you for such great safety,service and beautiful skies!! http://t.co/X1EqYAHfvZ"
negative,US Airways,@USAirways but in the meantime I'll be sleeping on a park bench on dadeland st.  Thanks guys!
positive,Southwest,@SouthwestAir yeehaw. You found us another plane.  Thx for listening to me vent.
negative,Southwest,@SouthwestAir I don't want to be too whiny. We accommodated several passengers whose earlier flight was Cancelled Flightled. Our flight was very long.
neutral,American,@AmericanAir Hi guys.I have 2/25 RNO-DFW tomorrow.Plane coming from DFW with bad weather in AM.should I consider Fê-route as I have connect?
negative,American,"@AmericanAir @marxsterbcow How is this a real life response to a customer service issue? Seriously. Keep trying to call us. Eh, might work."
positive,US Airways,@USAirways couldn't be more thankful to your #orf and #dca crews on the ground and in the air today for help with a sick kid and a lost bag!
negative,US Airways,@USAirways  where's my bag?  In line 200 deep at DCA. Agents say call 800 #.  800# says talk to agents. Abysmal customer service
neutral,Delta,@JetBlue window exits give it away.
negative,American,@AmericanAir 24 hrs &amp; 2 cncld flights Late Flightr I've landed in PHL. Now 30 mins &amp; counting on tarmac waiting for gate. Pls do better than this.
positive,Delta,@JetBlue thank you for the refund of the change fee for a recent flight affected by our bizarre winter. Excellent customer service and focus
negative,Delta,"@JetBlue your customer services agent Jorge at Orlando International is rude and disrespectful, I never want to deal with your bullshit ever"
negative,Delta,@JetBlue What is going on with the flight from Buffalo to JFK? Have they figured anything out about the temperature and the tower yet?
negative,American,@AmericanAir AA 2258 why have you Cancelled Flightled our flight without courtesy of notifying us or alternatives?  Very poor.
neutral,American,@AmericanAir basically u right now http://t.co/IN24Bpb7dw
negative,US Airways,@USAirways waited for 3 hours NO LUGGAGE line too long left airport when flight Cancelled Flighted WHERE does luggage GO? On hold for 1 hour so far
negative,American,@AmericanAir pls tell me how to get a person on the phone asap
negative,Delta,@JetBlue thanks for the heads up about the 2 hour delay #sarcasm #patienceiswearingthin #woof
positive,United,@united thank you! Love united!! Have 4 flights today!
negative,American,@americanair Seattle check-in. 1 desk servicing full service line. 2 desks servicing priority. Full srvc wait 30+ minutes. Customer svc fail
negative,US Airways,@USAirways I've been on hold for 30 minutes and counting. #unacceptable
negative,Delta,"@JetBlue spoken to 2 reps. Once I'm allowed to check my bag and through the TSA checkpoint, I guarantee I will be talking to someone."
positive,US Airways,@USAirways thanks for slowing the inbound plane down so that we didn't need to worry about 4438 EYW being Late Flight. Great holz ahead. Cheers! 😀
negative,American,@AmericanAir Flight  AA1691 LAX to LAS closes too early and gate agents give us hassles #PatheticCX
neutral,American,@AmericanAir When did they start to sell water @AdmiralsClub ?
negative,Delta,"@JetBlue even tho the extra 5 lbs are still going on the plane, just as a carry on. Where is the sense? What do you say to fat people?"
negative,American,@AmericanAir AA I need a Hail Mary. How do I get from Dallas to Joplin JLN in the next 14 hours. Willing to fly to other airports and drive
negative,US Airways,@USAirways denied me standby bc of checked bag in cvg 5163 to Phl @ 6..so I had to take delayed 3751 4 hrs Late Flightr...except u lost bag in cvg
negative,Southwest,@SouthwestAir why is customer relations still not open....in Texas?!
negative,American,"@AmericanAir seriously, I do not want to wait 24 hours for a flight when I have to prepare for a family funeral."
negative,US Airways,@USAirways @AmericanAir 28 hours Late Flightr still no email. work supervisor needs documentation to approve last minute vacation day request
negative,Delta,"“@JetBlue: Our fleet's on fleek. http://t.co/Lv9HwQDK9A”

Can't fly you anymore, we had a good run ✌️"
negative,Southwest,@SouthwestAir trying to get anyone on phone. Flt Cancelled Flighted. Please get me to Denver.
negative,United,@united do you know how to use twitter bro?  Your terminal looks like it's in Bosnia.  Here's another pic. http://t.co/M9Nywr5Kbs
negative,US Airways,"@USAirways 4+ hour hold, finally Cancelled Flighted ticket! sticking to @delta @Expedia who allow easy online Cancelled Flights/refunds! http://t.co/RKVCZBpdCE"
neutral,Delta,"@JetBlue Hi there, any rough idea of when January 2016 flights will be made available?"
negative,Delta,"@jetblue all your online resources  say we're on time, but clearly we are not.  This is not very information age of you..."
negative,United,@united ^GJ flight 1101 didn't have wifi even though it was promised to by your ground crew. #AnotherDisappointment
negative,American,"@AmericanAir That's ok...You may keep my $25 and lose my bag with no info, but you no longer have my trust. Bad way to handle this."
negative,US Airways,@USAirways @PHLAirport how can a plane scheduled to come in on time and actually happen. Then you bozos don't have any room us. #incompetent
negative,Southwest,"@SouthwestAir disappointed in the 'service' I've received. Checked in online, checked my my flight status online, CHECKED IN AT THE AIRPORT"
negative,US Airways,@USAirways thx for delayed checkin on noon flt to mia then forcing me to take Late Flightr flts which were delayed. Cincy to Miami in 13 hrs! #fast
neutral,Southwest,"@SouthwestAir I'm scheduled to come back tomorrow, finally but I don't know SWA hasn't flown out of @Fly_Nashville yet but @Delta has"
neutral,Southwest,@SouthwestAir sent
negative,Southwest,"@SouthwestAir yes, very much so! I was looking forward to using your airlines for future flights but never again."
positive,Southwest,@SouthwestAir Thanks. 436. Only a minor delay so not a big deal. :)Appreciate the concern though. Boarding now. You do have amazing service!
negative,American,"@AmericanAir I understand. I'm feeling cranky. I called AA's bag tracker number and heard ""your bag has not been located."" 😩"
negative,United,@united 8h flight without a working screen for me and my friend and not possible to move to another place #unitedfails#worsttripofmylife
negative,United,@united quick response offering assistance but lack of follow through - not really the service I was expecting
negative,US Airways,"@USAirways Bravo handling MSP to PHX # 2023 today. Delayed, Late Flightr Cancelled Flightled. Missed surprise 60th bday which was reason for trip.Never again"
negative,Southwest,"@SouthwestAir Why do airlines change ticket prices in the middle of the day
#annoyed"
positive,United,@united Boeing 777 Star Alliance short finals @Heathrowairport 27L on an amazing winters morning #777 #Avgeek http://t.co/owMaXOyEhZ
neutral,United,@united How much is baggage check for International flights?
positive,Delta,"@JetBlue I would prefer a similar picture but full of E190 tails, but great shot!"
negative,US Airways,@USAirways No hot food on a 5 hour flight? Crazy. Couldn't eat in PHL b/c our original connection was 40 min Late Flight. What gives? #PHLtoLAS
negative,United,@united I know that. Thanks for the standard reply.
negative,United,"@united in addition, my first flight was delayed an hour and I'm arriving at my destination 8 hrs Late Flight."
positive,Southwest,"@SouthwestAir @matthewebel And this is why I love flying Southwest. Excellent service, and you don't take yourselves too seriously!"
neutral,US Airways,"@USAirways 5223 out of Gainesville, FL"
negative,US Airways,@USAirways will you please update your website with the most current flight status? And update your customer service phone # on @google thx
positive,United,@united you too!
negative,American,".@AmericanAir (2/3) ...I sat on the runway for 4 MORE HRS b4 takeoff (10 hrs Late Flight, 4:30 AM). Pilot plainly stated it was a comp/mech issue."
positive,Delta,"@JetBlue messaged you, thanks"
negative,US Airways,"@USAirways wont waive fees for flight Cancelled Flightlation due to #neptune To use credit, $200 fee. Couldnt reach destination @BostonBBB #notmyfault"
negative,Southwest,"@SouthwestAir can't checkin online for 2:00 flight tmrw fr. Cancun. ""Undefined error"" &amp; 800# not working.Family of 4 don't want Cgroup! Help"
neutral,Delta,@JetBlue Has D.C. Thinking About Summer With New Nantucket Service - Digital Journal http://t.co/urcyfcp2Lx
negative,United,@united $55 cab ride to dfw from love got me my bag. Reimburse?
neutral,United,@united yes I've boarded this way many times &amp; have never had to show my pass on the Tarmac multiple times. Path was railed off. Only 1 way
positive,Delta,Lovely! RT @JetBlue: Our fleet’s on fleek. http://t.co/Hi6Fl1AX9E
negative,United,"@united A very disappointing experience - plane mech. delay and next one didn't wait. No sincere apology, just told me to complain online"
positive,Delta,@JetBlue OOH! Good one! Speaking of #MiAmore - Just know that #IAdore https://t.co/fWZClBvuG4 Loving #LoveSongFriday
positive,US Airways,@USAirways Flight # 604. Thanks.
neutral,United,@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?
negative,US Airways,"@timbennettg3 @USAirways Cancelled Flightled 4532 sch departure 8:38 am, wasn't snowing yet and other flights were still leaving #Fail"
negative,Virgin America,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome"
neutral,United,"@united do you think there Will problems at Newark, NJ on Saturday due to expected snow?"
neutral,United,@united I was on UA1069 today and left my sunglasses in seat 26F. Please help me get them back! #UnitedAirlines
negative,American,"@AmericanAir today, after 6 yrs., no longer my preferred airline."
neutral,US Airways,@USAirways any chance of a travel advisory or DCA this weekend?
negative,Southwest,"@SouthwestAir used to love you, but you keep rescheduling my flights.  #southworst"
negative,United,@united where is our luggage
negative,United,"@united  gate agent at EWR "" if you are disabled or in a wheel chair, it's time to board, please step"". STEP UP??? Lol"
negative,United,@united help? Invest more in your planes and your people and less in stock buybacks and executive pay. Maybe then you would not disappoint.
negative,United,@united Why was I forced to check my rollaboard on UA 715? Plenty of room in the overhead next to my seat. http://t.co/5xvNnmLTiW
negative,American,@AmericanAir why was my flight from Miami to Dallas Monday  rescheduled to Tuesday?
negative,United,@united gate C 24 IAD. U released passengers to board w/others deplaning .50 peopleOn bridge while next flight  board http://t.co/HfoF33iyhi
negative,United,@united #CustomerService #fail long time flyer switching airlines #frustrated
negative,American,@AmericanAir it wasn't ' disrupted' it was Cancelled Flightled. Airport agents were horrendous. Sharon was your saviour
negative,American,@AmericanAir I understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding? smh come on...
positive,United,@united no worries Your customer service gets a bad wrap but just spoke w agent who saved me huge amounts of time &amp; apologized for yesterday
positive,Southwest,@SouthwestAir thank you for great customer service. Trying to make it to San Antonio and your staff and alerts have been helpful. Boo ice!
neutral,American,@AmericanAir what's the best number to use?
neutral,Delta,"@jetblue Havana, Cuba - To share my love of photography and leave pictures behind, as well as to deliver much-needed items. #flyingitforward"
neutral,American,@AmericanAir can you please connect these two reservations together and also add a child in a lap. KEVOLT and SOZLDJ march 1. Thanks
neutral,US Airways,@USAirways yes travel is complete flight 5095 from CLT to CAK Feb 18
negative,American,@AmericanAir been rebooked for tomorrow. You failed to put me on DL flight today despite my asking and available seat. DL still available
negative,United,@united my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY. Can you help?
neutral,Delta,"@JetBlue For my Grandma Ella's 80th, she would love a birthday greeting from your flight crew! She was a stewardess for Eastern Airlines."
negative,Delta,"@JetBlue we saw one, he was as useless as the tsa agents who inspected my shoes"
negative,American,@AmericanAir @USAirways over an hour on the phone the best you can tell me is it was sent maybe my bank misplaced it...
negative,US Airways,@USAirways Youre batting .1000. Every flight Ive taken is delayed. Worst airline. ever.
negative,Delta,@JetBlue's CEO battles to appease passengers and Wall Street - Waterbury Republican American http://t.co/Ur60Un86gy
negative,Delta,"@JetBlue You can pass that along to my wife, daughter, daughter's friend, my elderly mother-in-law.  They spent several hours waiting."
negative,American,@AmericanAir I get &amp; can appreciate that. I've just had so many problems in the last year flying with guys... Pretty aggravating.
negative,American,"@AmericanAir doesn't care about customers, break your gear and tell u they can't do anything. @WSJ @latimes @chicagotribune #media #filmcrew"
negative,Southwest,"@SouthwestAir been on the phone for about an hour waiting..can you please answer, Thank You!  #notcool"
negative,United,@united is the worst http://t.co/27aitZl6nd
neutral,United,@united please help! Left my iPad Air 2 on my flight from NYC to Paris yesterday and can’t get in touch with anyone locally. What to do?
negative,US Airways,@USAirways I have never had a more unpleasant travel experience in my life. Now I might not get on my flight till tomorrow? This is insane
negative,US Airways,@USAirways you're right it's not fun. Especially when I don't have much of a choice. Lol. #curvygirltravels
negative,Southwest,@SouthwestAir weather where? And at what time Cancelled Flighted? No I can't because meeting was today.
negative,United,"@united I guess you have to ""follow"" me in order for me to send you a DM.. I tried and it won't send."
negative,United,".@united: Just landed. A day Late Flight with almost no sleep, but here. I feel sorry for the woman I consoled who's mother died during the night."
negative,American,@AmericanAir Any info for Cancelled Flightled flight 1046 tomorrow morning out of DFW? Can't get calls through to speak with anyone.
positive,American,@AmericanAir everything for sorted out. Thanks for the help. Excited to get home tonight!
negative,US Airways,"@USAirways and next flight delayed as well. 5238 out of Charlotte, is it just my luck or what?"
neutral,United,@united Hi.  My relative's Flight Booking Problems number is MY8YB4.  Her name is Clarita Jaramillo Mejia.  Thank you
negative,United,@united the wifi in the ewr lounge reminds me of the old days of dial up
negative,Southwest,@SouthwestAir Gary Kelly should be ashamed of himself running a corporation in this way
neutral,American,"@AmericanAir DM the locator code, thanks."
negative,United,@united Thanks.    This one was delayed an hour and a half prior to scheduled departure.
negative,US Airways,@USAirways customer service fail... Todays experience will ensure I do my best NEVER to utilize you again...
negative,Delta,"@JetBlue come on! Already delayed 2+ hrs on flight 1415 as we waited for the pilot to come from Boston, now you reassign him?! Endless trip."
negative,United,@united Arriving at the airport 2 hours before departure time and still missing your flight bc you actually don't have an electronic ticket
negative,Southwest,"@SouthwestAir oh, ok!  all good!  looking forward to escaping the cold for a bit!  thanks!"
positive,American,@AmericanAir F-A-N-T-A-S-T-I-C!! thanks again for coming thru with great customer service!
negative,US Airways,@USAirways oh yay! Now gate agents decide not to deal with upgrade list and just bump up whoever is closest.
negative,United,@united thanks! We would like an apology and a full refund. Please confirm when we will receive.
negative,American,@AmericanAir @USAirways and the way I have been spoken to by #DFW and #Mia employees is truly disgusting. Save the pain fly with anyone else
negative,Virgin America,"@VirginAmerica While other airlines weren't Cancelled Flighting flights into BOS, and helping their customers get home, Virgin was saying Good luck!"
negative,Delta,@JetBlue I had to call back five times to get someone on the phone who knew what they were doing. By that time my getaway went up by $200.
neutral,United,@united  I'm on standby for my connecting flight. 1st on the list.  NudgeNudge I'm told there are four slots open. Save it for me.  Please.
positive,US Airways,@USAirways thank you for refunding my bag fee.  I look forward to its return today I hope.
negative,Delta,"@JetBlue dont get me wrong i love flying with you. Tv, free bags and descent fares. The recent plane problems are just annoying."
neutral,United,@united can I request a ticket change through twitter ?
negative,American,@AmericanAir  2/2 You took cost for both flights out of my bank account. Now I can't get a refund for 2 weeks? I have been a loyal customer.
neutral,Southwest,@SouthwestAir please please please choose me to go see @Imaginedragons   #DestinationDragons
negative,US Airways,"@USAirways that's incorrect. Four people, last flight of the night, with our bags. #horriblecustomerservice"
positive,American,@AmericanAir lovely flight back from MIA to LHR - great crew - thanks :-))
positive,Delta,@JetBlue thank you for the information.
positive,American,@AmericanAir thanks for following up- it finally worked!! Fingers crossed the new flight works.
negative,United,@united involuntarily bumped your passenger and can't guarantee them another flight for three days!
negative,United,@united I sent you a dm hours ago
negative,US Airways,@USAirways nothing was available. Male flight crew was not nice/dismissive. Big guy was standby and probably didn't even pay for Choice
neutral,American,"@AmericanAir Sorry, what equipment? Have the passengers been allowed to return to the plane?"
negative,US Airways,@USAirways Flight 830 CLT to Phl. I was 1st on list.Someone else got spot. Rude employee in coach. Wouldt give ID. Said he was cute red head
negative,Virgin America,@VirginAmerica Site down? #help
negative,Delta,@JetBlue Thank you for the reply. Would've appreciated communication before checking in about the delay. JetBlue used to be my go-to
neutral,Southwest,@SouthwestAir Are there discounts every tuesday cause Im leaving fron Birmingham Airport to San fran Next week in march sometime
negative,American,"@AmericanAir she was rude, unprofessional,  not helpful in helping me try and get home. As a #aaadvantage #loyal aa customer dissatisfied!"
negative,US Airways,@USAirways has completely wasted my work day! Thank you for the bad service and bad Friday!
neutral,Virgin America,@VirginAmerica Need to start flying to @KCIAirport .  😊😀😃😄
negative,American,@AmericanAir thanks for telling me my flight got Cancelled Flightled when it wasn't. Now I have a missing luggage because of you. Thanks fam!
negative,United,"@united, I don't believe that you do.. http://t.co/7z3GqEBfK2"
negative,United,@united Can't leave the Tarmac ..united's gate agent cannot agree on a head count. 20 min now counting a 100 people max #epicfailunited
negative,United,@united  Thanks for nothing! No Atlanta Lounge? Your Ap says NO. Sure nothing at Terminal T http://t.co/tFjfMSHa2k
negative,US Airways,@USAirways your customer service # has a recording that says we are to busy to assist and hangs up. Great touch. #poorservice @GMA @CBSNews
negative,Southwest,@SouthwestAir I was never able to talk so someone so had to buy another new ticket. Will be calling shortly for refund.
negative,Southwest,@SouthwestAir Ive had on an airline. Everyone else has been great but she soured the whole experience for me. Hope she's not there next time
neutral,American,@AmericanAir Flight 35. I'm on my way.
negative,US Airways,@USAirways I did at 7 pm! Still no bag..
negative,American,@AmericanAir now we are all stuck on the plane after landing because crew unable to figure it out
negative,Southwest,@SouthwestAir @ LAX is almost a mess. For some reason the express bag drop is slower than the full service line. http://t.co/ORY89eEGek
positive,Delta,@JetBlue credit to you for replying.  I’ll look forward to hopefully one of those 103 on my flight home tonight :)
negative,US Airways,@USAirways you reminded me today why I fly @SouthwestAir
negative,US Airways,"@USAirways @KieranMahan needs two nights at a hotel in phoenix until he can get back to Philly because of plane equipment, crazy!"
neutral,Delta,@JetBlue selfie on the flight 83 from #JFK to #Orlando . With @Supertzar85 http://t.co/QRANZImHTr
negative,US Airways,@USAirways @AmericanAir. delay and mechanical issues on both my weekend flights. Ridiculous. Will tweet as long as we are delayed
negative,American,@AmericanAir you put a sour taste on this customer’s vacation. it was joke watching those “we care thanks for choosing us” videos
negative,US Airways,@USAirways why the hell did you overbook a plane when you knew people actually had seat assignments. #inept #uncaring #piss poorplanning
negative,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
negative,United,@united @el_ingeniero don't check your baggage if you don't have to.  They will lose it!
negative,Southwest,@SouthwestAir sure did. Also read on there that Southwest doesn't believe it is liable for the incident. How is it my fault that SW lost it?
neutral,United,@united How long can I expect the formal response to take?
negative,US Airways,@USAirways Not a great experience for my first time flying US Airways. Going forward I'll probably be taking my business elsewhere.
neutral,American,@AmericanAir what terminal LHR for aa5/BA1506? Doesn't say in boarding pass
positive,United,@united thank YOU for your kindness. Your agents went above &amp; beyond to get my stranded family home.
negative,United,@united giving up on your direct flight from IAH to Honolulu. 3rd attempt in 3 years - 3rd delay.  $7 meal voucher. Wow. Customer service!
neutral,Southwest,@SouthwestAir quick question: let's say I book a flight (I did so) and you then drop the price. Do I get the cheaper rate?
neutral,Virgin America,@VirginAmerica can we make every VX plane with #nerdbird? Why should Austin be the only one getting nerd love?
negative,Delta,@JetBlue dropped 3x in past hour
negative,Southwest,@SouthwestAir flight was Cancelled Flightled and it won't let me rebook online. Wait time on phone is too long. Please help
negative,American,@AmericanAir Weather was not involved.
negative,Southwest,@SouthwestAir oh and now your company has caused us to lose an entire day of our vacation in Cancun. De Boarded waiting for another plane
negative,United,@united was such a better airline when you were Continental. $75 service fee + $75 Flight Booking Problems fee + $25 talk to a human fee: FU!!!
neutral,Southwest,@SouthwestAir If you read my tweet it is a gap in process for folks that take multiple flights in one day.
negative,US Airways,"@USAirways Umm, can you define 'extra time'?"
negative,United,"@united if guy on flight 1230 follows through on threat to sue because he couldn’t carry on 3 bags, I will defend you for free."
negative,United,@united @gg8929 Unbelievable hypocrisy!!
negative,Southwest,@SouthwestAir  this is really unhelpful. Why can't I rebook online? http://t.co/N5O43sVl8i
negative,Delta,“@JetBlue: Our fleet's on fleek. http://t.co/vw2v8GVnGq” 😐😑
negative,Southwest,@SouthwestAir why do your MDW gates have so many fewer seats than your planes?
positive,Southwest,@SouthwestAir your flight attendants are really funny!! The sass is giving me life!!! 😂
negative,United,"@united Doumented via link. However, now that it has been over four months with no response, what do you suggest? Or shall I not expect one?"
negative,Southwest,@SouthwestAir right? We're delayed so I'm crabby. :) Also why do you allow one family member to purchase EarlyBird check in and hold rows?
positive,Delta,@JetBlue Awesome! #bestairlineever
negative,American,@AmericanAir my flight out of TYR tomorrow was Cancelled Flighted due to weather. How long until a rebook?
neutral,Delta,"@JetBlue CEO's challenge: appease passengers, Wall Street - The Columbian http://t.co/pG96ys9aSW"
negative,American,@AmericanAir @SentieriMelinda Any updates? It shouldn't take hours for assistance. I love @SouthwestAir
negative,United,@united It is also inappropriate to lie to passengers to induce them into accepting a voucher by telling them you have availability on Late Flightr
negative,Virgin America,@VirginAmerica Already checked in so the page expired :X
negative,American,"@AmericanAir yes starting w/ flight 1278, getting me home more than 48 hours Late Flightr. record locator BSUXLU"
negative,Southwest,@SouthwestAir is seriously THE WORST. I don't remember the last time I or someone I knew had a flight that wasn't delayed / Cancelled Flightled / etc!
positive,American,@AmericanAir made it!  Thanks AA!
positive,American,Thank you for sending more details  @AmericanAir: They're pretty handy dandy. more info here: http://t.co/FvlxIRh1F1 #LookforwardtoflywithAA
positive,US Airways,@USAirways YOU ARE THE BEST!!! FOLLOW ME PLEASE;)🙏🙏🙏✌️✌️✌️🙏🙏🙏
negative,US Airways,@USAirways Who intentionally buys a flight with a 10 hour layover?  And what kind of airline would charge $200 to fix it? Wow... #usairways
negative,Southwest,@SouthwestAir we didn't nothing was ruined just wet. Just frustrating when after traveling for 12 hours you can't change into clean clothes
negative,United,@united while busy on his cell phone ???
negative,Delta,@JetBlue This is absurd. Should a stranger help my kids if there's a problem? #jetblue http://t.co/LAiGgef9Kj
positive,Virgin America,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
negative,US Airways,"@USAirways Now I am probably going to miss my connection in Charlotte, so I will have to drive home for the funeral."
negative,Delta,@JetBlue Walked down the hall to Carousel 8...found all bags sitting there. Still no words from crew...signage still not updated
positive,Southwest,@SouthwestAir @Imaginedragons @beatsmusic I'd love to hear them live at @VelourLive @velourlive this saturday! #destinationdragons
neutral,Delta,@JetBlue Just left #LaGuardia now...#Sunshine in a little over 2 hours
negative,United,@united really 1st flt frm IAD 2 IAH is - Late Flight &amp; -going via Nashville? #inconvenience. Downgraded but not on ticket
positive,United,@united thank you! I wish the lady in Little Rock had told me that in the morning when I asked her
negative,US Airways,@USAirways I was on hold for 2 hours and still no answer. Is this really how you run your business? http://t.co/P8xFhq4kps
neutral,Southwest,@SouthwestAir would you be willing to help me surprise my bestfriend with tickets to go see @Imaginedragons? #DestinationDragons Gracias!
negative,United,"@united I was abused , threatened and forced to travel in a lower cabine (last seat) in yesterday's flight from Houston to Sao Paulo"
negative,US Airways,"@USAirways I want my money back. Now we're sitting on the runway. After a 2 hour delay, waiting for the baggage to begin loading."
